description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes,service|type,code|1|description,code|2|description,clinical_domain,pricing|discounted,pricing|gross,description_clean
CATHETER SUPERTORQUE PLUS 6FR 100CM .038IN VASCULAR JUDKINS LEFT 3.5 BX/5EA DIAGNOSTIC,SUP-3150,CDM,,,272.0,RC,,,inpatient,,,25.38,19.03,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS SELECT LIMITED NETWORK HMO [11000117],,,,,,,,,,CDM,Unknown,Unknown,Unknown,1.2240698232595702e-05,,catheter supertorque plus 6fr 100cm 038in vascular judkins left 35 bx5ea diagnostic
SELEGILINE 5 MG TABLET,RX-11340,CDM,25009999,HCPCS,259.0,RC,72319-0006-02,NDC,inpatient,1.0,UN,3.74,,GENERIC MEDICARE REPLACEMENT [1010],GENERIC MEDICARE REPLACEMENT [101001],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,,,selegiline 5 mg tablet
Implant Breast Prosthesis T1,PX-27000127,CDM,C1789,HCPCS,278.0,RC,,,inpatient,,,2415.81,1811.86,TUFTS HEALTH PLAN [170001],TUFTS HMO [17000102],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0011660520027722671,,implant breast prosthesis t1
PLATE 3.5MM 18 HOLE BOWED LOCKING COMPRESSION FEMUR,SUP-494759,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,6857.5,5143.12,HARVARD PILGRIM [120001],HPHC NH LOCAL HMO [12000122],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.003309950446216892,,plate 35mm 18 hole bowed locking compression femur
LAMINARIA CERVICAL DILATOR 4MM,RX-701295,CDM,25009999,HCPCS,259.0,RC,00000-0027-34,NDC,inpatient,1.0,UN,29.75,,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA MEDICARE PPO BLUE REPLACEMENT [11000108],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,,,laminaria cervical dilator 4mm
CATHETER ATTAIN 7FR 45CM GUIDING DEFLECTIVE LEAD DELIVERY SYSTEM 6227DEF02,SUP-91793,CDM,C1887,HCPCS,272.0,RC,,,inpatient,,,1631.0,1223.25,MGB HEALTH PLAN [150001],MGB VALUE HMO [15000112],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0007872403630936049,,catheter attain 7fr 45cm guiding deflective lead delivery system 6227def02
Mra Head W/O Cont,PX-61000081,CDM,70544,CPT,615.0,RC,,,inpatient,,,4736.0,3552.0,HARVARD PILGRIM [120001],HARVARD PILGRIM HEALTH PLANS INC UMR [12000116],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.002285953612786415,,mra head wo cont
Apply Cast Clubfoot|BILATERAL PROCEDURE,PX-76000718,CDM,29450,CPT,510.0,RC,,,outpatient,,,835.0,626.25,TUFTS HEALTH PUBLIC PLANS [1013],TUFTS PUBLIC PLANS ONE CARE MEDICARE REPLACEMENT [101304],50,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,252.8,119.25,866.15,other,OPPS APC,CPT,Unknown,Unknown,Unknown,0.00040302917251213105,,apply cast clubfootbilateral procedure
CATHETER TWIN-PASS .014IN 3FR 140CM TWIN-PASS DUAL ACCESS,SUP-110416,CDM,C1887,HCPCS,272.0,RC,,,outpatient,,,1094.45,820.84,MGB HEALTH PLAN [150001],MGBHP RISK MGB PCP [15000109],,,36.2,,396.19,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.0005282614264070205,,catheter twinpass 014in 3fr 140cm twinpass dual access
Inpatient Tlc 2 Pbu,PX-27000894,CDM,27000894,LOCAL,274.0,RC,,,outpatient,,,123750.0,92812.5,SENIOR WHOLE HEALTH [1014],SENIOR WHOLE HEALTH CHOICE CARE MEDICARE REPLACEMENT [101406],,,,,123750.0,,,other,APC grouping requires price history; No contract line matched,LOCAL,Unknown,Unknown,Unknown,0.05973131873321799,,inpatient tlc 2 pbu
HUMERAL STEM MODULAR REMEDY SMALL,SUP-664302,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,4500.0,3375.0,CENTERS OF EXCELLENCE [1026],AETNA TRANSPLANT [102601],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0021720417522622594,,humeral stem modular remedy small
